M,N,K,kernel,tile_size,mean_ms,median_ms,min_ms,stddev_ms,gflops,reference_kernel,speedup,bitwise_equal,divergent_count,tolerance_pass
4,4,4,"naive",0,0.0049017600947991015,0.0031519999029114842,0.0029760000761598349,0.0060084334474273518,0.026113069086308695,"naive",1,true,0,true
4,4,4,"tiled",16,0.0040294400462880728,0.0037280000979080796,0.0030720001086592674,0.0014695609517420695,0.031766200397475533,"naive",1.2164866677479447,true,0,true
256,256,256,"naive",0,0.035148800164461133,0.034816000610589981,0.032767999917268753,0.0014894682079443608,954.63947113411859,"naive",1,true,0,true
256,256,256,"tiled",16,0.026964479945600032,0.026623999699950218,0.026240000501275063,0.0010488731760198782,1244.3938124412184,"naive",1.3035222720917556,true,0,true
257,257,257,"naive",0,0.035861120223999024,0.035840000957250595,0.034784000366926193,0.0008847198723531749,946.6850390602267,"naive",1,true,0,true
257,257,257,"tiled",16,0.035624960176646708,0.029984000138938427,0.028672000393271446,0.0077312317702919178,952.96067228321476,"naive",1.0066290613710531,true,0,true
1024,1024,1024,"naive",0,2.5533600044250488,2.426672101020813,2.3736319541931152,0.31655829234801991,841.0422518870613,"naive",1,true,0,true
1024,1024,1024,"tiled",16,1.3100236916542054,1.2554240226745605,1.171455979347229,0.22240516738525293,1639.2708480625336,"naive",1.9490945245431754,true,0,true
