M,N,K,kernel,tile_size,mean_ms,median_ms,min_ms,stddev_ms,gflops,reference_kernel,speedup,bitwise_equal,divergent_count,tolerance_pass,contraction_mode,accumulation_mode,reference_contraction,reference_accumulation,divergent_percent,max_ulp,mean_divergent_ulp,max_absolute_error,max_relative_error,tolerance_failures,tolerance_failure_percent,ulp_0,ulp_1,ulp_2,ulp_3_4,ulp_5_8,ulp_gt_8,finite_pairs,finite_divergent_count,nan_pairs,infinity_pairs,zero_reference_nonzero,mismatch_count,mismatches_saved,mismatches_truncated
4,4,4,"cuda-naive-no-fma",0,,,,,,"cuda-naive-fma",,false,3,true,"separate_rn_mul_add","increasing_k","explicit_fma_rn","increasing_k",18.75,1,1,7.4505805969238281e-09,8.8909068551856762e-08,0,0,0,3,0,0,0,0,16,3,0,0,0,3,3,false
256,256,256,"cuda-naive-no-fma",0,,,,,,"cuda-naive-fma",,false,52183,true,"separate_rn_mul_add","increasing_k","explicit_fma_rn","increasing_k",79.62493896484375,1740636161,99940.529808558349,1.3113021850585938e-06,2.4149417877197266,0,0,0,14794,13384,10665,6511,6829,65536,52183,0,0,0,52183,5,true
257,257,257,"cuda-naive-no-fma",0,,,,,,"cuda-naive-fma",,false,52508,true,"separate_rn_mul_add","increasing_k","explicit_fma_rn","increasing_k",79.49855410377144,86332,13.755332520758742,1.430511474609375e-06,0.0062835076823830605,0,0,0,14764,13608,10736,6566,6834,66049,52508,0,0,0,52508,5,true
1024,1024,1024,"cuda-naive-no-fma",0,,,,,,"cuda-naive-fma",,false,898868,false,"separate_rn_mul_add","increasing_k","explicit_fma_rn","increasing_k",85.722732543945312,1770019358,8076.9974323259921,4.76837158203125e-06,53.234455108642578,1332,0.1270294189453125,0,194236,199872,197584,146209,160967,1048576,898868,0,0,0,898868,5,true
