M,N,K,kernel,tile_size,mean_ms,median_ms,min_ms,stddev_ms,gflops,reference_kernel,speedup,bitwise_equal,divergent_count,tolerance_pass,contraction_mode,accumulation_mode,reference_contraction,reference_accumulation,divergent_percent,max_ulp,mean_divergent_ulp,max_absolute_error,max_relative_error,tolerance_failures,tolerance_failure_percent,ulp_0,ulp_1,ulp_2,ulp_3_4,ulp_5_8,ulp_gt_8,finite_pairs,finite_divergent_count,nan_pairs,infinity_pairs,zero_reference_nonzero,mismatch_count,mismatches_saved,mismatches_truncated
4,4,4,"cuda-naive-reordered",0,,,,,,"cuda-naive-fma",,false,6,true,"explicit_fma_rn","even_odd_partials","explicit_fma_rn","increasing_k",37.5,4,1.5,1.4901161193847656e-08,3.9213594504872162e-07,0,0,0,5,0,1,0,0,16,6,0,0,0,6,5,true
256,256,256,"cuda-naive-reordered",0,,,,,,"cuda-naive-fma",,false,59657,false,"explicit_fma_rn","even_odd_partials","explicit_fma_rn","increasing_k",91.02935791015625,1756159700,29912.634711768947,4.76837158203125e-06,1.5384122133255005,21,0.03204345703125,0,11519,9558,13436,12093,13051,65536,59657,0,0,0,59657,5,true
257,257,257,"cuda-naive-reordered",0,,,,,,"cuda-naive-fma",,false,60131,false,"explicit_fma_rn","even_odd_partials","explicit_fma_rn","increasing_k",91.039985465336343,51900,17.911410087974588,4.76837158203125e-06,0.0037681055255234241,20,0.030280549289164106,0,11452,9655,13513,12297,13214,66049,60131,0,0,0,60131,5,true
1024,1024,1024,"cuda-naive-reordered",0,,,,,,"cuda-naive-fma",,false,999879,false,"explicit_fma_rn","even_odd_partials","explicit_fma_rn","increasing_k",95.355892181396484,1804999722,24967.551019673381,1.71661376953125e-05,62.451774597167969,17839,1.7012596130371094,0,95131,91157,162322,230801,420468,1048576,999879,0,0,0,999879,5,true
