M,N,K,kernel,tile_size,mean_ms,median_ms,min_ms,stddev_ms,gflops,reference_kernel,speedup,bitwise_equal,divergent_count,tolerance_pass,contraction_mode,accumulation_mode,reference_contraction,reference_accumulation,divergent_percent,max_ulp,mean_divergent_ulp,max_absolute_error,max_relative_error,tolerance_failures,tolerance_failure_percent,ulp_0,ulp_1,ulp_2,ulp_3_4,ulp_5_8,ulp_gt_8,finite_pairs,finite_divergent_count,nan_pairs,infinity_pairs,zero_reference_nonzero,mismatch_count,mismatches_saved,mismatches_truncated
4,4,4,"cuda-naive-fma",0,,,,,,"naive",,true,0,true,"explicit_fma_rn","increasing_k","compiler_default","increasing_k",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,false
256,256,256,"cuda-naive-fma",0,,,,,,"naive",,true,0,true,"explicit_fma_rn","increasing_k","compiler_default","increasing_k",0,0,0,0,0,0,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,false
257,257,257,"cuda-naive-fma",0,,,,,,"naive",,true,0,true,"explicit_fma_rn","increasing_k","compiler_default","increasing_k",0,0,0,0,0,0,0,0,0,0,0,0,0,66049,0,0,0,0,0,0,false
1024,1024,1024,"cuda-naive-fma",0,,,,,,"naive",,true,0,true,"explicit_fma_rn","increasing_k","compiler_default","increasing_k",0,0,0,0,0,0,0,0,0,0,0,0,0,1048576,0,0,0,0,0,0,false
